# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	29585
#@/user_id	e99bcb09-d6ab-49a3-95df-5fff3ab5639a
a 	啊	c=132 d=1.22016 t=28797
chuan 	串	c=3 d=1.02638 t=26637
chuan 	傳	c=24 d=1.21097 t=27539
chuan 	穿	c=2 d=1.81873 t=9245
chuan di 	傳遞	c=9 d=1.53794 t=24029
chuan ren 	傳人	c=1 d=1 t=6
chuan ru 	傳入	c=4 d=1 t=18371
chuan shu 	傳輸	c=1 d=1 t=25748
chuan song 	傳送	c=1 d=1 t=23912
chuan tong 	傳統	c=1 d=1 t=28728
chuang ge 	窗格	c=2 d=1.86502 t=247
chuang hu 	窗戶	c=1 d=1 t=22832
chuang jian 	創建	c=21 d=1 t=28517
chuang jian shi jian 	創建時間	c=1 d=1 t=7940
chuang kou 	窗口	c=3 d=2.93143 t=14516
chuang qian 	窗前	c=1 d=1 t=19132
chuang qian ming yue guang 	窗前明月光	c=1 d=1 t=9728
chuang shi ren 	創始人	c=1 d=1 t=18886
chuang ye 	創業	c=1 d=1 t=7155
chui zi 	錘子	c=2 d=1 t=27229
chun 	春	c=0 d=0.1 t=19148
chun 	純	c=2 d=1 t=10934
chun mian bu jue xiao 	春眠不覺曉	c=1 d=1 t=19149
chun xiao 	春曉	c=5 d=4.67939 t=19179
ci 	次	c=2 d=1 t=29416
ci 	此	c=2 d=1 t=15118
ci dian 	詞典	c=14 d=1 t=28293
ci pan 	磁盤	c=4 d=1.40095 t=24644
ci shi 	此時	c=3 d=1.13534 t=12268
ci shu 	次數	c=15 d=1.16476 t=19189
cong 	從	c=51 d=1.00333 t=29222
cong lai 	從來	c=1 d=1 t=3866
cong shang mian 	從上面	c=1 d=1 t=12750
cou 	湊	c=2 d=1.88692 t=24494
cou chu 	湊出	c=1 d=1 t=24488
cou qian 	湊錢	c=1 d=1 t=7379
cu 	簇	c=0 d=0.1 t=19852
cu lve 	粗略	c=1 d=1 t=4193
cui ruo 	脆弱	c=1 d=1 t=13761
cun 	存	c=5 d=1.00061 t=29390
cun 	寸	c=1 d=1 t=27287
cun chu 	存儲	c=27 d=2.6113 t=25638
cun chu qi 	存儲器	c=6 d=4.53395 t=24264
cun chu she bei 	存儲設備	c=1 d=1 t=24250
cun dao 	存到	c=1 d=1 t=4202
cun fang 	存放	c=3 d=2.13495 t=24243
cun qu 	存取	c=1 d=1 t=24060
cun zai 	存在	c=6 d=1.97045 t=28518
cun zai yu 	存在於	c=1 d=1 t=23799
cuo 	撮	c=1 d=1 t=28147
cuo 	錯	c=3 d=1.98021 t=23456
cuo de 	錯的	c=1 d=1 t=11510
cuo guo 	錯過	c=2 d=1 t=18115
cuo le 	錯了	c=3 d=1 t=27421
cuo shi 	措施	c=1 d=1 t=28057
cuo shi 	錯失	c=1 d=1 t=16081
cuo wu 	錯誤	c=37 d=1 t=28641
cuo wu zhi 	錯誤值	c=1 d=1 t=15683
da 	大	c=35 d=1.04878 t=26552
da 	打	c=104 d=1 t=29483
da 	搭	c=1 d=1 t=16216
da 	答	c=1 d=1 t=29449
da 	達	c=1 d=1 t=16520
da bao 	打包	c=3 d=1 t=24920
da bao cheng 	打包成	c=1 d=1 t=23736
da bing 	大病	c=1 d=1 t=15920
da bu fen 	大部分	c=2 d=1.82696 t=19674
da che 	大車	c=1 d=1 t=21138
da che 	打車	c=2 d=1 t=21131
da da 	大大	c=1 d=1 t=1105
da dao 	達到	c=3 d=1 t=26118
da dian hua 	打電話	c=12 d=1 t=15374
da duo shu 	大多數	c=6 d=1.00149 t=28015
da duo shu ren 	大多數人	c=1 d=1 t=7137
da fen 	打分	c=1 d=1 t=3822
da gai 	大概	c=2 d=1 t=16424
da gai ji dian 	大概幾點	c=1 d=1 t=2519
da gong 	打工	c=3 d=2.73906 t=7118
da gou 	打勾	c=1 d=1 t=711
da jia 	大家	c=3 d=1 t=26493
da jia hao 	大家好	c=1 d=1 t=18623
da jian 	搭建	c=7 d=1.00035 t=22935
da jiao dao 	打交道	c=1 d=1 t=767
da jie 	大姐	c=1 d=1 t=6391
da jie 	大街	c=3 d=2.9316 t=5370
da jin qu 	搭進去	c=1 d=1 t=1485
da juan 	答卷	c=1 d=1 t=17923
da kuo hao 	大括號	c=1 d=1 t=12970
da li 	打理	c=1 d=1 t=26920
da nao 	大腦	c=2 d=1.72979 t=13546
da shu ju 	大數據	c=3 d=1 t=22206
da suan 	打算	c=1 d=1 t=4635
da ti 	大體	c=1 d=1 t=28713
da tong 	打通	c=1 d=1 t=20324
da tou 	打頭	c=1 d=1 t=25186
da wan 	打完	c=1 d=1 t=1269
da xiao 	大小	c=9 d=2.70171 t=25546
da xiao xie 	大小寫	c=2 d=1.81058 t=10272
da xue 	大學	c=1 d=1 t=108
da yi 	大衣	c=1 d=1 t=9201
da yin 	打印	c=5 d=1 t=27230
da you 	大有	c=0 d=0.1 t=10898
da you bei li 	大有北里	c=2 d=1.12431 t=11316
da yu 	大於	c=3 d=1.87928 t=18955
da yue 	大約	c=1 d=1 t=2642
da za 	打雜	c=1 d=1 t=14032
da zao 	打造	c=2 d=1.77105 t=802
da zhen 	打針	c=1 d=1 t=9351
da zhi 	大致	c=2 d=1 t=19825
dai 	帶	c=6 d=1 t=25121
dai 	待	c=5 d=0.965022 t=16174
dai 	戴	c=1 d=1 t=20994
dai biao 	代表	c=1 d=1 t=13421
dai bu xia qu 	待不下去	c=1 d=1 t=16175
dai lai 	帶來	c=2 d=1 t=25735
dai lai de 	帶來的	c=1 d=1 t=13274
dai li 	代理	c=2 d=1.00001 t=10844
dai ma 	代碼	c=74 d=1.03045 t=29218
dai ma ku 	代碼庫	c=1 d=1 t=258
dai ma kuai 	代碼塊	c=5 d=4.34482 t=13048
dai shang 	帶上	c=1 d=1 t=5188
dai shu 	代數	c=3 d=2.84232 t=25889
dai shu 	袋鼠	c=1 d=1 t=25866
dai ti 	代替	c=1 d=1 t=25458
dai wa wa 	帶娃娃	c=1 d=1 t=14840
dai you 	帶有	c=2 d=1 t=19574
dai yu 	帶魚	c=0 d=0.1 t=9707
dai yu ping 	帶魚屏	c=1 d=1 t=9708
dai zhe 	帶着	c=2 d=1.25666 t=21272
dan 	但	c=63 d=1.5426 t=29527
dan 	單	c=8 d=1.46723 t=28684
dan bu 	單步	c=1 d=1 t=15299
dan chun 	單純	c=3 d=1 t=22495
dan ci 	單詞	c=1 d=1 t=9200
dan du 	單獨	c=8 d=1.02265 t=25373
dan ge 	單個	c=5 d=2.75316 t=18197
dan shi 	但是	c=20 d=1.13274 t=29158
dan teng 	蛋疼	c=1 d=1 t=21658
dan wei 	單位	c=4 d=1.99816 t=26331
dan xian cheng 	單線程	c=2 d=1.28794 t=13494
dan xin 	擔心	c=2 d=1.86502 t=14724
dan yi 	單一	c=1 d=1 t=16862
dan yuan 	單元	c=1 d=1 t=13467
dan zi 	單子	c=11 d=2.82465 t=18121
dang 	檔	c=1 d=1 t=24727
dang 	當	c=16 d=6.12347 t=27723
dang 	黨	c=0 d=0.1 t=26571
dang an 	檔案	c=2 d=1.90484 t=11423
dang an dai 	檔案袋	c=3 d=2.84467 t=10661
dang dang 	噹噹	c=1 d=1 t=7206
dang ni 	當你	c=1 d=1 t=14643
dang qian 	當前	c=12 d=1.00053 t=27755
dang ran 	當然	c=2 d=1 t=26768
dang shi 	當時	c=6 d=1 t=16213
dang tian 	當天	c=7 d=4.69095 t=25241
dang xin 	當心	c=1 d=1 t=8484
dang zuo 	當作	c=4 d=1.91456 t=12502
dao 	倒	c=7 d=1 t=23872
dao 	到	c=121 d=1.27718 t=29531
dao 	導	c=15 d=1.83138 t=17650
dao chu 	導出	c=4 d=1 t=27977
dao da 	到達	c=2 d=1.97045 t=24642
dao di 	到底	c=2 d=1 t=26900
dao dian 	到點	c=1 d=1 t=6881
dao hang 	導航	c=3 d=1.96085 t=14180
dao hao 	倒好	c=0 d=0.1 t=21704
dao jia 	到家	c=3 d=1.12185 t=29517
dao le 	到了	c=4 d=1 t=29571
dao mai 	倒賣	c=1 d=1 t=8528
dao ni 	到你	c=1 d=1 t=3637
dao qi 	到期	c=1 d=1 t=2609
dao ru 	導入	c=1 d=1 t=11297
dao shi 	倒是	c=3 d=1 t=28754
dao shi hou 	到時候	c=4 d=1 t=17607
dao shi jian 	到時間	c=1 d=1 t=28629
dao shou 	到手	c=1 d=1 t=189
dao xu 	倒序	c=3 d=1 t=18868
dao zhang 	到帳	c=4 d=1.88692 t=21623
dao zhi 	導致	c=21 d=1.00003 t=29220
dao zhi de 	導致的	c=1 d=1 t=8053
de 	地	c=0 d=0.1 t=24645
de 	得	c=2 d=1 t=24162
de 	的	c=1745 d=11.7084 t=29564
de chu 	得出	c=1 d=1 t=12875
de dao 	得到	c=11 d=2.03233 t=27709
de dao le 	得到了	c=1 d=1 t=13409
de guo 	德國	c=1 d=1 t=24687
de le 	得了	c=1 d=1 t=21665
dei 	得	c=53 d=1.40177 t=25190
dei hui 	得會	c=1 d=1 t=25725
dei qu 	得去	c=0 d=0.1 t=6089
deng 	登	c=1 d=1 t=24830
deng 	等	c=21 d=1.00002 t=29150
deng dai 	等待	c=1 d=1 t=21722
deng dao 	等到	c=1 d=1 t=16604
deng deng 	等等	c=1 d=0.1 t=11914
deng deng ba 	等等吧	c=1 d=1 t=11915
deng hui 	等會	c=9 d=1.00007 t=20644
deng lu 	登錄	c=15 d=2.83932 t=28333
deng shang 	登上	c=1 d=1 t=5144
deng ta 	等他	c=1 d=1 t=6018
deng tong yu 	等同於	c=1 d=1 t=13059
deng wo 	等我	c=2 d=1.0004 t=11335
deng yu 	等於	c=5 d=1.9209 t=18799
deng zhe 	等着	c=1 d=1 t=17408
di 	低	c=4 d=1 t=13885
di 	地	c=3 d=1 t=23727
di 	底	c=1 d=1 t=7580
di 	第	c=2 d=1 t=15066
di ceng 	底層	c=3 d=1.08333 t=29370
di di 	滴滴	c=1 d=1 t=7260
di dian 	地點	c=1 d=1 t=14179
di er 	第二	c=2 d=1 t=13548
di er ge 	第二個	c=7 d=1 t=18869
di er ji du 	第二季度	c=1 d=1 t=19386
di er zhong 	第二種	c=1 d=1 t=25831
di fang 	地方	c=10 d=1.00002 t=24909
di gui 	遞歸	c=1 d=1 t=10990
di ji 	低級	c=1 d=1 t=24398
di san fang 	第三方	c=9 d=1.00007 t=20172
di shang 	地上	c=1 d=0.1 t=19133
di si 	第四	c=0 d=0.1 t=24527
di si ban 	第四版	c=1 d=1 t=24528
di su 	低速	c=1 d=1 t=24173
di tie 	地鐵	c=4 d=1.99005 t=21419
di tie zhan 	地鐵站	c=1 d=1 t=3947
di tou 	低頭	c=2 d=1 t=19139
di tu 	地圖	c=3 d=1.0013 t=15641
di xia 	底下	c=1 d=1 t=7159
di xiao 	低效	c=1 d=1 t=13198
di yi 	第一	c=2 d=1 t=24722
di yi ci 	第一次	c=4 d=1 t=15166
di yi ge 	第一個	c=11 d=1.00001 t=28626
di yi ge yue 	第一個月	c=1 d=1 t=4819
di yi hang 	第一行	c=1 d=1 t=23666
di yi mian 	第一麪	c=1 d=1 t=22314
di yi tian 	第一天	c=1 d=1 t=17909
di yi tiao 	第一條	c=1 d=1 t=12768
di yu 	低於	c=1 d=1 t=17552
di yu 	地獄	c=3 d=2.79404 t=13439
di zhi 	地址	c=26 d=2.02459 t=28079
dian 	店	c=8 d=1.10985 t=28108
dian 	電	c=3 d=1 t=28499
dian 	點	c=43 d=1.00006 t=29288
dian ban 	點半	c=2 d=1 t=22527
dian chi 	電池	c=6 d=2.95556 t=28545
dian dian 	墊墊	c=1 d=1 t=18619
dian fei 	電費	c=1 d=1 t=28483
dian guo qu 	點過去	c=1 d=1 t=27965
dian hua 	電話	c=18 d=1 t=25317
dian ji 	點擊	c=4 d=1 t=20678
dian liang 	掂量	c=1 d=1.06561 t=11045
dian liang 	電量	c=3 d=1.99005 t=9324
dian liang zhe 	掂量着	c=1 d=1 t=11046
dian lu ban 	電路板	c=1 d=1 t=24006
dian nao 	電腦	c=6 d=1 t=27918
dian nuan qi 	電暖器	c=1 d=1 t=1810
dian xing 	典型	c=1 d=1 t=14354
dian xing de 	典型的	c=1 d=1 t=24176
dian zi shu 	電子書	c=4 d=1.47742 t=23323
diao 	掉	c=8 d=1.29376 t=15435
diao 	調	c=2 d=1 t=27420
diao xian 	掉線	c=2 d=1.98511 t=1780
diao yan 	調研	c=2 d=1.98511 t=1671
diao yong 	調用	c=47 d=1.00001 t=29208
diao yong jie kou 	調用接口	c=1 d=1 t=5156
diao yong suan 	調用算	c=1 d=1 t=27438
diao yong zhe 	調用者	c=1 d=1 t=14453
die dai 	迭代	c=1 d=1 t=1612
ding 	定	c=10 d=1 t=24478
ding ceng 	頂層	c=1 d=1 t=11977
ding chang 	定長	c=1 d=1 t=23913
ding dan 	訂單	c=65 d=1.90937 t=28987
ding dan hao 	訂單號	c=4 d=1.00001 t=5229
ding shi 	定時	c=7 d=1.32143 t=28592
ding shi geng xin 	定時更新	c=2 d=1.93707 t=7800
ding shi ren wu 	定時人物	c=1 d=1 t=8469
ding wei 	定位	c=0 d=0.1 t=23739
ding yi 	定義	c=32 d=1.95605 t=28001
ding yi bian liang 	定義變量	c=1 d=1 t=1760
ding yue 	訂閱	c=2 d=1.8781 t=14432
ding zhi 	定製	c=1 d=1 t=26124
diu 	丟	c=1 d=1 t=10203
dong 	動	c=3 d=0.1 t=18459
dong 	東	c=2 d=1.00002 t=3945
dong hua 	動畫	c=1 d=1 t=22246
dong li 	動力	c=1 d=1 t=7059
dong lu 	東路	c=2 d=1.94649 t=5371
dong si 	凍死	c=0 d=0.1 t=268
dong si wo 	凍死我	c=1 d=1 t=269
dong tai 	動態	c=4 d=1 t=24058
dong wei 	東偉	c=1 d=1 t=4010
dong xi 	東西	c=20 d=1.03672 t=26962
dong zuo 	動作	c=1 d=1 t=13316
dou 	逗	c=1 d=1 t=13822
dou 	都	c=136 d=3.62539 t=29192
dou da 	都打	c=1 d=1 t=736
dou dei 	都得	c=1 d=1 t=11037
dou dei qu 	都得去	c=2 d=1.96561 t=6097
dou hui 	都會	c=5 d=1 t=19739
dou ke yi 	都可以	c=4 d=1 t=15455
dou mei you 	都沒有	c=1 d=1 t=3958
dou neng 	都能	c=1 d=1 t=860
dou qu 	都去	c=1 d=1 t=4609
dou shi 	都是	c=49 d=1 t=28026
dou shi yong 	都使用	c=1 d=1 t=6764
dou shuo 	都說	c=1 d=1 t=1307
dou yao 	都要	c=4 d=1.36059 t=16926
dou yi yang 	都一樣	c=1 d=1 t=4150
dou you 	都有	c=9 d=1.00617 t=26660
dou you sha 	都有啥	c=1 d=1 t=25162
dou zou 	都走	c=0 d=0.1 t=4017
dou zou le 	都走了	c=1 d=1 t=4018
du 	堵	c=1 d=1 t=23312
du 	度	c=1 d=0.1 t=16845
du 	讀	c=1 d=1 t=19144
du li 	獨立	c=1 d=1 t=11289
du qu 	讀取	c=5 d=1.22149 t=24649
du ya 	渡鴉	c=1 d=1 t=24532
du yi wu er 	獨一無二	c=1 d=1 t=1207
duan 	斷	c=1 d=1 t=27921
duan 	短	c=1 d=1 t=4699
duan 	端	c=11 d=1 t=28699
duan dian 	斷點	c=1 d=1 t=13232
duan huo 	斷貨	c=1 d=1 t=641
duan kou 	端口	c=12 d=2.41739 t=22367
duan lian 	斷連	c=2 d=1.92312 t=20259
duan lie 	斷裂	c=1 d=1 t=13459
duan lu 	短路	c=1 d=1 t=13053
duan luo 	段落	c=2 d=1.99005 t=9721
duan xin 	短信	c=2 d=1 t=28496
dui 	兌	c=2 d=1 t=26608
dui 	堆	c=1 d=1 t=7005
dui 	對	c=60 d=2.9717 t=28906
dui ba 	對吧	c=3 d=1 t=17925
dui bi 	對比	c=1 d=1 t=23515
dui de 	對的	c=1 d=1 t=11517
dui huan 	兌換	c=79 d=1.87896 t=26894
dui huan ma 	兌換碼	c=1 d=1 t=26895
dui huan zhong 	兌換中	c=1 d=1 t=10085
dui jiang 	兌獎	c=90 d=1.97703 t=18190
dui jie 	對接	c=23 d=1 t=23386
dui le 	對了	c=8 d=1 t=24546
dui lie 	隊列	c=6 d=4.43573 t=13373
dui mian 	對面	c=1 d=1 t=2708
dui shu 	對數	c=2 d=1.93707 t=28229
dui xiang 	對象	c=65 d=1.01553 t=29133
dui xiang cai neng 	對象才能	c=1 d=1 t=12265
dui ying 	對應	c=17 d=1 t=29452
dui yu 	對於	c=17 d=1.00972 t=26711
dun 	燉	c=1 d=1 t=7654
duo 	多	c=25 d=1.00066 t=28383
duo chang shi jian 	多長時間	c=2 d=1.00005 t=24746
duo ci 	多次	c=1 d=1 t=15154
duo da 	多大	c=2 d=1 t=25005
duo dian 	多點	c=1 d=1 t=22528
duo duo 	多多	c=1 d=1 t=16093
duo fen 	多分	c=0 d=0.1 t=10099
duo fen zhong 	多分中	c=1 d=1 t=10100
duo ge 	多個	c=12 d=1 t=28131
duo ge ming ling 	多個命令	c=1 d=1 t=2844
duo jiu 	多久	c=3 d=1 t=11908
duo jiu le 	多久了	c=1 d=1 t=2297
duo le 	多了	c=4 d=1.44709 t=21228
duo lei 	多累	c=2 d=1 t=13774
duo lian 	多練	c=1 d=1 t=4734
duo lv 	多慮	c=1 d=1 t=17595
duo mai 	多買	c=1 d=1 t=21135
duo shao 	多少	c=20 d=1.36379 t=28531
duo shao ci 	多少次	c=1 d=1 t=28265
duo shao du 	多少度	c=1 d=1 t=16846
duo shao ge 	多少個	c=2 d=1 t=29000
duo shao pian 	多少片	c=1 d=1 t=28532
duo shao qian 	多少錢	c=5 d=1 t=28540
duo shu 	多數	c=1 d=1 t=15590
duo shui 	多睡	c=1 d=1 t=19086
duo tian 	多天	c=1 d=1 t=28360
duo xian cheng 	多線程	c=2 d=1 t=28934
duo xing 	惰性	c=1 d=1 t=6635
duo yu 	多餘	c=1 d=1 t=19473
duo zhong 	多種	c=2 d=1 t=12038
duo zi jie 	多字節	c=1 d=1 t=25571
e 	額	c=2 d=1 t=19428
e le 	餓了	c=2 d=1 t=17836
e le me 	餓了麼	c=4 d=1.00032 t=19415
e si 	餓死	c=1 d=1 t=29261
e wai 	額外	c=2 d=1.72253 t=3277
e xin 	噁心	c=2 d=1.76721 t=3768
en 	嗯	c=48 d=1.00511 t=29580
en 	恩	c=1 d=1 t=219
en en 	嗯嗯	c=7 d=1 t=21072
er 	二	c=4 d=1.01725 t=29466
er 	而	c=24 d=1.00188 t=27105
er bu shi 	而不是	c=4 d=1.02599 t=25369
er bu yao 	而不要	c=1 d=1 t=13233
er cha shu 	二叉樹	c=1 d=1 t=29405
er ci kai fa 	二次開發	c=1 d=1 t=27737
er fei 	而非	c=2 d=1.00106 t=13991
er fen 	二分	c=3 d=1 t=29351
er huo 	二貨	c=1 d=1 t=14134
er ji 	二級	c=6 d=2.04305 t=9053
er ji 	耳機	c=2 d=1 t=14788
er ji biao ti 	二級標題	c=1 d=1 t=9047
er jin zhi 	二進制	c=7 d=1.91301 t=27463
er lei 	二類	c=4 d=3.48264 t=622
er lei yi miao 	二類疫苗	c=1 d=1 t=517
er qie 	而且	c=7 d=1.62189 t=26606
er shi 	而是	c=5 d=1.11092 t=15701
er shou 	二手	c=1 d=1 t=24713
er tong 	兒童	c=1 d=1 t=24694
er xian 	二線	c=1 d=1 t=13184
er yan 	而言	c=3 d=1 t=19673
er you 	而又	c=1 d=1 t=24393
er yuan 	二元	c=1 d=1 t=25892
er zhe ge wen jian 	而這個文件	c=1 d=1 t=23812
er zhi 	二致	c=1 d=1 t=1118
fa 	法	c=10 d=1.15535 t=26452
fa 	發	c=19 d=1.00552 t=29002
fa chu 	發出	c=1 d=1 t=14377
fa fang 	發放	c=30 d=1.76913 t=9012
fa fang zhong 	發放中	c=1 d=1 t=9013
fa hui 	發揮	c=1 d=1 t=20387
fa huo 	發貨	c=0 d=0.1 t=28391
fa huo le 	發貨了	c=1 d=1 t=28392
fa lai 	發來	c=1 d=1 t=18583
fa ming 	發明	c=1 d=1 t=13603
fa ni 	發你	c=1 d=1 t=17884
fa piao 	發票	c=3 d=2.29532 t=10645
fa qi 	發起	c=1 d=1 t=17033
fa re 	發熱	c=1 d=1 t=1511
fa sheng 	發生	c=5 d=1 t=23267
fa song 	發送	c=3 d=1.00385 t=25765
fa wan 	發完	c=1 d=1 t=2538
fa wo 	發我	c=3 d=0.1 t=23352
fa wo yi xia 	發我一下	c=1 d=1 t=23353
fa xian 	發現	c=7 d=1.00002 t=27924
fa xing ban 	發行版	c=1 d=1 t=856
fa yi xia 	發一下	c=2 d=1 t=27191
fa zhan 	發展	c=3 d=1.12316 t=24214
fan 	反	c=8 d=1.10332 t=28234
fan 	飯	c=1 d=1 t=5605
fan huan 	返還	c=13 d=4.20253 t=9091
fan hui 	返回	c=63 d=1.78188 t=29185
fan hui zhi 	返回值	c=3 d=1.00001 t=15353
fan mai 	販賣	c=1 d=1 t=1318
fan piao 	飯票	c=1 d=1 t=28136
fan shi 	凡是	c=1 d=1 t=28248
fan shi 	範式	c=1 d=1 t=14274
fan wei 	範圍	c=3 d=1.00001 t=29437
fan xing 	泛型	c=1 d=1 t=27771
fan ye 	翻頁	c=1 d=1 t=1037
fan yi 	翻譯	c=3 d=1.00849 t=23231
fan yi cheng 	翻譯成	c=2 d=1.85214 t=23731
fan ying 	反應	c=4 d=1.00031 t=26202
fan ying 	反映	c=1 d=1 t=1502
fan ying dui 	反應堆	c=1 d=1 t=22387
fan zheng 	反正	c=7 d=1 t=20215
fan zhi 	反之	c=1 d=1 t=25784
fan zhuan 	反轉	c=6 d=3.34252 t=14231
fang 	放	c=8 d=1.43007 t=29186
fang 	方	c=2 d=1.93707 t=25819
fang 	芳	c=1 d=1 t=23338
fang an 	方案	c=5 d=1 t=29515
fang bian 	方便	c=7 d=1 t=29168
fang bian mian 	方便麪	c=1 d=1 t=9512
fang cai 	方纔	c=1 d=1 t=9224
fang dai 	房貸	c=1 d=1 t=7484
fang dao 	放到	c=11 d=3.0965 t=29213
fang fa 	方法	c=32 d=1.47722 t=29349
fang fan 	防範	c=2 d=1.95123 t=11944
fang kai 	放開	c=2 d=1.93707 t=5755
fang mian 	方面	c=2 d=1.98511 t=6855
fang shi 	方式	c=19 d=1.94681 t=25675
fang wen 	訪問	c=10 d=1 t=29233
fang xiang 	方向	c=1 d=1 t=15043
fang xin 	放心	c=0 d=0.1 t=11318
fang xin ba 	放心吧	c=1 d=1 t=12073
fang yan 	方言	c=1 d=1 t=9624
fang zai 	放在	c=1 d=1 t=4473
fang zhen 	仿真	c=1 d=1 t=61
fang zhi 	防止	c=5 d=1 t=24376
fang zi 	房子	c=4 d=1.00004 t=7382
fei 	費	c=3 d=1 t=28500
fei 	非	c=15 d=2.5871 t=27727
fei 	飛	c=1 d=1 t=19454
fei chang 	非常	c=6 d=1 t=25382
fei chang da 	非常大	c=1 d=1 t=28086
fei jin 	費勁	c=2 d=1 t=21666
fei qi 	廢棄	c=1 d=1 t=18229
fei qian 	費錢	c=1 d=1 t=24359
fei yan 	肺炎	c=2 d=1.86936 t=653
fei yong 	費用	c=4 d=1 t=27286
fen 	份	c=2 d=1 t=16206
fen 	分	c=17 d=1 t=28655
fen bian lv 	分辨率	c=1 d=1 t=2858
fen bie 	分別	c=6 d=1.01255 t=28585
fen bu 	分佈	c=1 d=1.09005 t=19858
fen bu shi 	分佈式	c=2 d=1.94649 t=21851
fen ceng 	分層	c=2 d=1.96079 t=6201
fen cheng 	分成	c=1 d=1 t=27607
fen dou 	奮鬥	c=1 d=1 t=7140
fen kai 	分開	c=2 d=1 t=25133
fen lei 	分類	c=16 d=1.00096 t=6483
fen li 	分離	c=4 d=1 t=28700
fen shu 	分數	c=1 d=1 t=3039
fen xi 	分析	c=3 d=1.99501 t=16313
fen xiang 	分享	c=1 d=1 t=15645
fen ye 	分頁	c=18 d=1.0061 t=15063
fen zhi 	分支	c=10 d=2.9561 t=22473
fen zhong 	分鐘	c=5 d=1.00058 t=28420
feng 	封	c=3 d=1.68386 t=28391
feng 	豐	c=2 d=1.96561 t=20320
feng 	風	c=2 d=1 t=23340
feng ding 	封頂	c=1 d=1 t=24148
feng ge 	風格	c=6 d=4.27917 t=15723
feng shi 	風溼	c=1 d=1 t=29035
feng xian 	風險	c=1 d=1 t=642
feng yu 	風雨	c=1 d=1 t=19154
feng zhuang 	封裝	c=18 d=1 t=23995
feng zhuang dui xiang 	封裝對象	c=2 d=1.32142 t=12546
fou ze 	否則	c=1 d=1 t=25235
fu 	付	c=3 d=1 t=24553
fu 	富	c=3 d=1.96561 t=20319
fu 	服	c=4 d=0.1 t=28562
fu 	父	c=4 d=1 t=29091
fu 	符	c=0 d=0.1 t=29301
fu 	負	c=2 d=1.80252 t=26685
fu ben 	副本	c=1 d=1 t=19180
fu chou zhe 	復仇者	c=1 d=1 t=24542
fu dao 	附到	c=1 d=1 t=3446
fu dian 	浮點	c=2 d=1.69768 t=27553
fu dian shu 	浮點數	c=2 d=1.99501 t=27440
fu gai 	覆蓋	c=2 d=1.10177 t=29313
fu hao 	符號	c=11 d=3.48317 t=27075
fu he 	符合	c=1 d=1 t=15414
fu he 	複合	c=1 d=1 t=14943
fu jian 	附件	c=2 d=1.79453 t=23632
fu jin 	附近	c=5 d=1.04628 t=21245
fu li 	福利	c=1 d=1 t=19458
fu mu 	父母	c=1 d=1 t=2189
fu shi 	複試	c=1 d=1 t=29456
fu shu 	複數	c=1 d=1 t=17900
fu shu 	負數	c=1 d=1 t=27062
fu wu 	服務	c=51 d=1.69001 t=29343
fu wu ming 	服務名	c=1 d=1 t=20814
fu wu qi 	服務器	c=31 d=15.2092 t=23229
fu wu qi dong 	服務器動	c=1 d=1 t=18460
fu wu qu 	服務區	c=1 d=1 t=21127
fu wu zhong xin 	服務中心	c=2 d=1.42741 t=21199
fu xi 	複習	c=9 d=1 t=23761
fu yong 	復用	c=3 d=1.04596 t=14288
fu yong 	服用	c=1 d=1 t=5112
fu you 	婦幼	c=1 d=1 t=27788
fu za 	複雜	c=8 d=1.00046 t=28046
fu za du 	複雜度	c=4 d=3.36809 t=29404
fu ze 	負責	c=4 d=1.68386 t=23900
fu zhi 	複製	c=8 d=1.8499 t=24659
fu zhi 	賦值	c=6 d=1 t=14987
fu zuo yong 	副作用	c=3 d=1.0003 t=14703
gai 	改	c=58 d=1.9802 t=29029
gai 	蓋	c=4 d=3.91228 t=19490
gai 	該	c=4 d=1 t=21210
gai bian 	改變	c=3 d=1 t=26738
gai cheng 	改成	c=4 d=0.1 t=24321
gai dong 	改動	c=5 d=1.00082 t=21870
gai lv 	概率	c=2 d=1 t=29565
gai ming 	改名	c=2 d=1 t=26391
gai nian 	概念	c=8 d=1 t=29385
gai nian shang 	概念上	c=1 d=1 t=27122
gai shu 	概述	c=2 d=1 t=16769
gai tian 	改天	c=3 d=1 t=27790
gai wan 	改完	c=1 d=1 t=10520
gai wei 	改爲	c=18 d=1 t=29135
gai yi xia 	改一下	c=2 d=1 t=22359
gan 	幹	c=12 d=1 t=25345
gan hao 	幹好	c=1 d=1 t=7010
gan jue 	感覺	c=32 d=1.34683 t=29562
gan ma 	幹嘛	c=1 d=1 t=18445
gan mao 	感冒	c=8 d=2.62449 t=26951
gan sha 	幹啥	c=14 d=1.00819 t=26076
gan shou 	感受	c=1 d=1 t=29266
gang 	剛	c=16 d=1 t=24999
gang cai 	剛纔	c=12 d=1.98241 t=28890
gang hao 	剛好	c=1 d=1 t=28925
gang kai shi 	剛開始	c=1 d=1 t=4915
gang men 	肛門	c=1 d=1 t=17577
gao 	搞	c=18 d=1.00002 t=29199
gao 	高	c=11 d=1.09005 t=26096
gao chang 	高暢	c=3 d=1 t=14066
